Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
Jaelen Strong,StroJa01,htx,,,,,,,,,IR,IR,IR,IR,O,IR,IR,IR,,IR,IR,
Soma Vainuku,VainSo01,htx,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Tony Washington,WashTo00,htx,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,
J.J. Watt,WattJ.00,htx,,,,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Vince Wilfork,WilfVi20,htx,,,,,,,,,Q,,,,,,,,,,,
Dominique Alexander,AlexDo01,cle,,,,,,,,,,,,,,,Q,,,,,
Joel Bitonio,BitoJo00,cle,,,,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Marcus Burley,BurlMa00,cle,O,,,,,,,,,,,,,,,,Q,,,
Ibraheim Campbell,CampIb00,cle,,,O,Q,Q,,,,,,,,,,,,,,,
Tank Carder,CardTa00,cle,,,,,,,,Q,,,,,,,,,,,,
Corey Coleman,ColeCo00,cle,,,O,O,O,,,,,,,,,,,,O,,,
Seth Devalve,DevaSe00,cle,,,,O,O,,,,,,,,,,,,,,,
Cameron Erving,ErviCa00,cle,,,O,O,O,,,Q,,,,,,,,,,,,
John Greco,GrecJo20,cle,,,,,,,,,,,,,IR,IR,IR,IR,,,,
Robert Griffin,GrifRo01,cle,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,,,
Joe Haden,HadeJo99,cle,,,Q,Q,,,,,,,,,,,,Q,Q,,,
Rannell Hall,HallRa02,cle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Cam Johnson,JohnCa01,cle,,,,,,,,,,,,,,,,Q,,,,
Cody Kessler,KessCo00,cle,,,,,,,,,,,O,,,,,,O,,,
Derrick Kindred,KindDe00,cle,,,,,,,,,,,,,IR,IR,IR,IR,,,,
Nile Lawrence-Stample,LawrNi01,cle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Ricardo Louis,LouiRi00,cle,,,,,,,,Q,,,,,,,,,,,,
Josh McCown,McCoJo01,cle,,,O,O,O,,,,,,,,,,,,,,,
Patrick Murray,MurrPa01,cle,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Carl Nassib,NassCa00,cle,,,O,O,Q,,,,,,,,,,,,,,,
Rajion Neal,NealRa01,cle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Nate Orchard,OrchNa00,cle,,,,O,,,,,,,,,,,,,,,,
Dennis Parks,ParkDe02,cle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Jordan Poyer,PoyeJo00,cle,,,,,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Austin Reiter,ReitAu00,cle,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Ed Reynolds,ReynEd00,cle,,,,,,,,,,,Q,,,,,,,,,
Jamar Taylor,TaylJa01,cle,,,,,,,,Q,O,,,,,,,,Q,,,
Randall Telfer,TelfRa00,cle,,,,,O,,,,,,,,,,Q,,,,,
Tramon Williams,WillTr99,cle,,,,D,Q,,,,,Q,Q,,,,,,,,,
Glenn Winston,WinsGl00,cle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Dylan Wynn,WynnDy00,cle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Giovani Bernard,BernGi00,cin,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Andrew Billings,BillAn00,cin,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Clint Boling,BoliCl00,cin,,,,,Q,,,,,,,,,,IR,IR,,,,
Chykie Brown,BrowCh05,cin,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,
Vontaze Burfict,BurfVo00,cin,,,,,,,,,,,,,,,,D,,,,
Rex Burkhead,BurkRe00,cin,,,,,Q,,,,,,,,,,,,,,,
Darqueze Dennard,DennDa00,cin,D,,Q,,,,,,,,,,,,,,,,,
Tyler Eifert,EifeTy00,cin,O,O,D,D,O,,,,,,,,,,IR,IR,,,,
Jake Fisher,FishJa00,cin,,,,,Q,,,,,,,,,,,,,,,
Wallace Gilberry,GilbWa00,cin,,,,,,,,,,Q,,O,O,,,,,,,
A.J. Green,GreeA.00,cin,,,,,,,,,,,O,O,O,,IR,O,,,,
Marcus Hardison,HardMa00,cin,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Clark Harris,HarrCl20,cin,,,,,,,,,,,Q,D,Q,,,,,,,
Jeremy Hill,HillJe01,cin,,,,,,,,,,,,,,,,Q,,,,
William Jackson,JackWi02,cin,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dre Kirkpatrick,KirkDr00,cin,,,,D,,,,,,,,,,,,,,,,
Tyler Kroft,KrofTy00,cin,,,,,,,,,,,,,,,,D,,,,
Cedric Ogbuehi,OgbuCe00,cin,,,,,,,,,,,,,,,,O,,,,
Cedric Peerman,PeerCe00,cin,IR,IR,IR,IR,IR,IR,IR,,IR,IR,,,,,,,IR,,,
Pat Sims,SimsPa99,cin,,Q,,,,,,,,,,,,,,,,,,
Derron Smith,SmitDe05,cin,,,,Q,,,,,,,Q,O,O,,,,,,,
Brandon Thompson,ThomBr01,cin,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
C.J. Uzomah,UzomC.00,cin,,,,,,,,,,D,D,D,O,,,,,,,
Shawn Williams,WillSh02,cin,,,,,,,,,,,D,,,,,,,,,
Eric Winston,WinsEr20,cin,,,Q,,,,,,,,,,,,,,,,,
James Wright,WrigJa03,cin,,,,,D,,,,,,,,O,,,,,,,
Kamar Aiken,AikeKa00,rav,,,,Q,,,,,,,,Q,,,,,,,,
Javorius Allen,AlleJa01,rav,,,,,,,,,,,,D,,,,,,,,
Kyle Arrington,ArriKy00,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Michael Campanaro,CampMi02,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Maurice Canady,CanaMa00,rav,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Kaelin Clay,ClayKa00,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Kamalei Correa,CorrKa00,rav,,,,,,,,O,O,Q,,,,,IR,IR,,,,
Carl Davis,DaviCa01,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Kenneth Dixon,DixoKe00,rav,O,O,O,D,Q,,,,Q,,,,,,,,,,,
Elvis Dumervil,DumeEl20,rav,O,O,Q,Q,,,,O,O,D,Q,,,,,,,,,
Matt Elam,ElamMa00,rav,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Crockett Gillmore,GillCr00,rav,,,,,,,,O,O,O,D,O,,,,,,,,
Willie Henry,HenrWi00,rav,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
Devin Hester,HestDe99,rav,,,,Q,Q,,,,,,,,,,,,,,,
Timmy Jernigan,JernTi00,rav,,,,Q,,,,,,Q,Q,,,,,,,,,
Bronson Kaufusi,KaufBr01,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Alex Lewis,LewiAl01,rav,,,,Q,,,,,,O,O,O,,,,Q,,,,
Kendrick Lewis,LewiKe00,rav,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Cavellis Luckett,LuckCa00,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Chris Matthews,MattCh00,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
C.J. Mosley,MoslC.00,rav,,Q,,,,,,Q,,Q,,,,,,,,,,
Stephane Nembot,NembSt01,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Zach Orr,OrrxZa00,rav,,,,,,,,,,,,,,,,O,,,,
Breshad Perriman,PerrBr02,rav,,Q,,,,,,,,,,,,,,,,,,
Dennis Pitta,PittDe00,rav,Q,,,,,,,,,,,,,,,,,,,
Jerraud Powers,PoweJe99,rav,O,Q,,,,,,,,,,,,,,,,,,
Sheldon Price,PricSh00,rav,,,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Jumal Rolle,RollJu00,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Jimmy Smith,SmitJi03,rav,,,,,,,,,,D,D,Q,,IR,IR,IR,,,,
Steve Smith,SmitSt01,rav,,,,,,,,Q,,,,,,,,,,,,
Za'Darius Smith,SmitZa00,rav,,Q,,,,,,,,,,,,,,,,,,
Ronnie Stanley,StanRo00,rav,,,Q,D,D,,,Q,,,,,,,,,,,,
Terrell Suggs,SuggTe99,rav,,,,,,,,Q,,,,,,,,,,,,
Lorenzo Taliaferro,TaliLo00,rav,IR,IR,IR,IR,IR,IR,,,,D,O,O,IR,IR,IR,IR,,,,
John Urschel,UrscJo00,rav,Q,Q,Q,Q,,,,,,,,,,,,,,,,
Ricky Wagner,WagnRi00,rav,,,,,,,,,,,,,,,,O,,,,
Ben Watson,WatsBe00,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Lardarius Webb,WebbLa99,rav,,,,,,,,Q,,,,,,,,,,,,
De'Ondre Wesley,WeslDe00,rav,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Brandon Williams,WillBr02,rav,,,,,,,,,,,Q,,,,,,,,,
Maxx Williams,WillMa04,rav,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Shareece Wright,WrigSh00,rav,Q,,,,,,,D,O,Q,,,,,,,,,,
Marshal Yanda,YandMa20,rav,,,,,,,,Q,D,Q,Q,,,,,,,,,
Tavon Young,YounTa01,rav,,,,,,,,Q,,,,,,,,,,,,
Chris Boswell,BoswCh00,pit,,,,,,,,,,,,,Q,,,,,,,
Anthony Chickillo,ChicAn00,pit,,,,,,,,,,,,,,,,Q,,O,O,
Jordan Dangerfield,DangJo00,pit,,,,,,,,,,Q,Q,,,,,,,,,
Bud Dupree,DuprAl00,pit,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
Ramon Foster,FostRa21,pit,,,Q,O,,,,,,,,,Q,,,,,,,
William Gay,GayxWi99,pit,,,,,,,,Q,,,,,,,,,,,,
Justin Gilbert,GilbJu00,pit,,,,,O,,,,,,,,,,,,,,,
Marcus Gilbert,GilbMa00,pit,,,,,O,,,,,,,,,,,,,,,
Robert Golden,GoldRo00,pit,,,,O,O,,,,,,,,,,,O,,Q,,
Senquez Golson,GolsSe00,pit,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Bruce Gradkowski,GradBr00,pit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Ladarius Green,GreeLa00,pit,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,IR,O,,Q,D,Q
Xavier Grimble,GrimXa00,pit,,,,,,,,,,Q,O,,,,,Q,,,,
Javon Hargrave,HargJa00,pit,,,,,,,,,,,,,D,,,,,,,
Ryan Harris,HarrRy20,pit,,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
James Harrison,HarrJa23,pit,,,,,,,,,,,,,,,,,,,,Q
Jerald Hawkins,HawkJe00,pit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Cameron Heyward,HeywCa01,pit,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Darrius Heyward-Bey,HeywDa00,pit,,,,,,,,,,O,O,,O,,,,,,,
Steven Johnson,JohnSt02,pit,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Cole Manhart,ManhCo00,pit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Ricardo Mathews,MathRi99,pit,,,,,,,,,,,,,,,,,,O,Q,
Roosevelt Nix,NixxRo01,pit,O,O,D,O,O,,,,,,,,,,,,,,,
Ben Roethlisberger,RoetBe00,pit,,,,,,,,Q,,,,,,,,,,,,
Eli Rogers,RogeEl00,pit,,,,O,O,,,,,,,,,,,,,,,
Ryan Shazier,ShazRy00,pit,,Q,,O,O,,,,,,,,,,,,,,,
Shamarko Thomas,ThomSh00,pit,,,,,,,,,,O,O,,IR,IR,IR,IR,,IR,IR,IR
Fitzgerald Toussaint,TousFi00,pit,,,,,,,,,,,,,,,,,,,Q,Q
Stephon Tuitt,TuitSt00,pit,,,,,,,,,,,,,,,,O,,,,
Valerian Ume-Ezeoke,Ume-Va00,pit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Cody Wallace,WallCo20,pit,O,IR,IR,IR,IR,IR,IR,O,IR,,IR,IR,IR,IR,IR,IR,,IR,IR,IR
Markus Wheaton,WheaMa00,pit,O,Q,,,,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,,IR,IR,IR
DeAngelo Williams,WillDe02,pit,,,,,,,,Q,,O,O,,Q,,,,,,,
Vince Williams,WillVi01,pit,,,,,,,,,,,,,,,,,,Q,,
Antonio Allen,AlleAn02,nyj,,,,,,,,,,,,,O,IR,IR,IR,,,,
Robby Anderson,AndeRo04,nyj,,,,,,,,,,,,,,,,Q,,,,
Braedon Bowman,BowmBr00,nyj,,,,,O,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Juston Burris,BurrJu00,nyj,,,,,,,,,,,,,,,,Q,,,,
Bruce Carter,CartBr00,nyj,Q,Q,,Q,,,,O,,,,,,,,,O,,,
Mike Catapano,CataMi00,nyj,,,,,,,,,,,,,,IR,IR,IR,,,,
Jake Ceresna,CereJa00,nyj,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Ryan Clady,CladRy20,nyj,,,,Q,,,,Q,IR,,IR,IR,IR,IR,IR,IR,Q,,,
Kellen Davis,DaviKe01,nyj,,,,,,,,O,,,IR,IR,IR,IR,IR,IR,,,,
Eric Decker,DeckEr00,nyj,,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Quincy Enunwa,EnunQu00,nyj,,,,,Q,,,,,,,,,,,,,,,
Matt Forte,FortMa00,nyj,,,,,,,,,,,,,,,IR,O,,,,
Breno Giacomini,GiacBr20,nyj,IR,IR,IR,IR,IR,IR,IR,Q,,,,,O,IR,IR,IR,,,,
Marcus Gilchrist,GilcMa00,nyj,,,,,,,,,,,,,,IR,IR,IR,,,,
David Harris,HarrDa99,nyj,Q,Q,Q,,,,,,,,,,,,,,,,,
Erin Henderson,HendEr99,nyj,,,Q,,,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Jordan Jenkins,JenkJo01,nyj,D,D,,,,,,,,,,,,,,,,,,
Darron Lee,LeexDa00,nyj,,,,,,,,O,,,,,,,,,O,,,
Nick Mangold,MangNi20,nyj,,,,,,,,D,,,,,IR,IR,IR,IR,D,,,
Brandon Marshall,MarsBr00,nyj,,,Q,,,,,,,,,,,,Q,Q,,,,
Jalin Marshall,MarsJa01,nyj,,,,O,D,,,,,,,,O,,,,,,,
Nick Marshall,MarsNi00,nyj,,,,,,,,,,,,,,,,D,,,,
Lorenzo Mauldin,MaulLo00,nyj,,,,,,,,,,,,,O,,O,O,,,,
Steve McLendon,McLeSt00,nyj,,,,,,,,,,,,,O,,O,O,,,,
Dee Milliner,MillDe00,nyj,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Romar Morris,MorrRo01,nyj,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Julien Obioha,ObioJu00,nyj,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Bryce Petty,PettBr01,nyj,O,O,O,O,O,,,,,,,,,,,IR,,,,
Bilal Powell,PoweBi00,nyj,,,,,,,,,,,,,,,,Q,,,,
Brent Qvale,QvalBr01,nyj,,,,,,,,D,,,,,,,,,D,,,
Darrelle Revis,ReviDa99,nyj,,,,,D,,,,,,,,,,,,,,,
Sheldon Richardson,RichSh00,nyj,,,,,,,,,,,,,,,,Q,,,,
Darryl Roberts,RobeDa00,nyj,O,D,,,,,,,,,,,,,,,,,,
Khiry Robinson,RobiKh00,nyj,,,,,,,,,,,,,O,,Q,IR,,,,
Austin Seferian-Jenkins,SefeAu00,nyj,,,,,,,,,,,,,,,,O,D,,,
Brandon Shell,ShelBr00,nyj,,,,,,,,Q,,,,,,,,,,,,
Buster Skrine,SkriBu00,nyj,,,,,,,,,,,,,,,,,D,,,
Devin Smith,SmitDe04,nyj,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,,,,,IR,,,
Geno Smith,SmitGe00,nyj,,,,,,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Julian Stanford,StanJu00,nyj,,,,,,,,,,,,,IR,IR,IR,IR,,,,
Lawrence Thomas,ThomLa04,nyj,,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Wilds,WildBr01,nyj,,,,,,,,,,,,,,,,Q,,,,
Muhammad Wilkerson,WilkMu00,nyj,,Q,,,,,,Q,,,,,Q,,Q,Q,Q,,,
Brian Winters,WintBr00,nyj,,,,,O,,,,,,,,,,IR,IR,,,,
Lorenzo Alexander,AlexLo99,buf,,,,,,,,,,,Q,,,,,,,,,
Colt Anderson,AndeCo01,buf,O,O,O,Q,,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Blake Annen,AnneBl01,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Robert Blanton,BlanRo00,buf,,,,,,,,,,,O,IR,IR,IR,IR,IR,,,,
Preston Brown,BrowPr00,buf,,,,,,,,,,,,,,,Q,Q,,,,
Zach Brown,BrowZa00,buf,,,,,,Q,,,,,,,,,,Q,,,,
Corbin Bryant,BryaCo00,buf,,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,Q,,,
Charles Clay,ClayCh00,buf,,Q,Q,Q,,Q,,,,,Q,,Q,,Q,Q,Q,,,
Ronald Darby,DarbRo00,buf,,,Q,Q,,,,,,,,,,,,,,,,
Marcell Dareus,DareMa00,buf,,,,,,D,,,,Q,,,,,,,Q,,,
Jonathan Dowling,DowlJo00,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jim Dray,DrayJi00,buf,,Q,,,,,,,,,,,,,,,,,,
Marcus Easley,EaslMa00,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
IK Enemkpali,EnemIK00,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jerome Felton,FeltJe00,buf,,,,,,,,,,,,,,,Q,,,,,
Mike Gillislee,GillMi00,buf,,,,,,,,,,,O,,,,,,Q,,,
Stephon Gilmore,GilmSt00,buf,,,,,,,,,,,,,,,,O,,,,
Cordy Glenn,GlenCo00,buf,,O,O,Q,,Q,,,,,Q,,Q,,D,O,Q,,,
Marquise Goodwin,GoodMa00,buf,,,,,,,,,,,,,,,,,O,,,
Chris Gragg,GragCh00,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ryan Groy,GroyRy00,buf,Q,,,,,,,,,,,,,,,,,,,
Percy Harvin,HarvPe00,buf,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,
Seantrel Henderson,HendSe00,buf,,,,,,,,,,,Q,,,,,,,,,
Jerry Hughes,HughJe99,buf,,,,,,,,,,Q,,,,,,,Q,,,
Justin Hunter,HuntJu00,buf,,,,,,,,,,Q,,,,,,,,,,
James Ihedigbo,IhedJa00,buf,,,,,,,,,,,,,,IR,IR,IR,,,,
Randell Johnson,JohnRa01,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,IR,IR,,,
Cardale Jones,JoneCa01,buf,Q,Q,Q,Q,,,,,,,,,,,,,,,,
Cyrus Kouandjio,KouaCy00,buf,,,,O,,Q,,,,,,,,,,,,,,
Shaq Lawson,LawsSh00,buf,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,
Patrick Lewis,LewiPa00,buf,,,,O,,Q,,,,,,,,,,,,,,
Kolby Listenbee,ListKo00,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
LeSean McCoy,McCoLe01,buf,,,,,,,,,,,Q,,,,,,D,,,
Lerentee McCray,McCrLe01,buf,,,,,,,,,,,,,O,,O,,Q,,,
Jonathan Meeks,MeekJo01,buf,,,,Q,,,,,,,,,,,,,,,,
John Miller,MillJo04,buf,,,,,,,,,,,,,,,Q,Q,Q,,,
Walt Powell,PoweWa00,buf,,,,,,,,,,Q,,IR,IR,IR,IR,IR,,,,
Reggie Ragland,RaglRe00,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Greg Salas,SalaGr00,buf,,,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Colton Schmidt,SchmCo00,buf,,,,,,Q,,,,,,,,,,,,,,
Kevon Seymour,SeymKe00,buf,O,Q,,,,,,,,,,,,,,,,,,
Sammy Watkins,WatkSa00,buf,,Q,IR,IR,IR,IR,IR,IR,,IR,Q,,Q,,Q,Q,IR,,,
Corey White,WhitCo01,buf,,,,,,Q,,,,,,,,,,,,,,
James Wilder,WildJa01,buf,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Aaron Williams,WillAa00,buf,,,,Q,,Q,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jonathan Williams,WillJo07,buf,Q,,,,,,,,,,,,,,,,,,,
Kyle Williams,WillKy20,buf,,,,,,,,,,,,,Q,,Q,Q,,,,
Eric Wood,WoodEr20,buf,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
Robert Woods,WoodRo02,buf,,,,,,,,,,Q,O,,Q,,,,Q,,,
Jerel Worthy,WortJe00,buf,,Q,,,,,,,,,,,,,Q,,,,,
Isa Abdul-Quddus,AbduIs00,mia,,,,,,,,Q,,,,,Q,,Q,IR,,IR,,
Jay Ajayi,AjayJa00,mia,O,,,,,,,,,,,,,,,Q,,,,
Branden Albert,AlbeBr20,mia,,,,Q,Q,,,,,,D,Q,Q,,,,,,,
Kiko Alonso,AlonKi00,mia,,,,Q,,,,,,,,Q,D,,Q,,,,,
Jermon Bushrod,BushJe20,mia,,,,Q,,,,Q,,,,Q,,,Q,,,,,
Jordan Cameron,CameJo00,mia,,Q,,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Chimdi Chekwa,ChekCh00,mia,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Chris Culliver,CullCh00,mia,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Kenyan Drake,DrakKe00,mia,,,,,,,,,,,Q,Q,Q,,,,,,,
Ifo Ekpre-Olomu,EkprIf00,mia,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Terrence Fede,FedeTe00,mia,Q,,,,,,,,,,,,,,,,,,,
Arian Foster,FostAr00,mia,,Q,O,O,D,,,,,,,,,,,,,,,
Xavien Howard,HowaXa00,mia,,Q,Q,Q,O,,,O,,,D,D,Q,,,,,,,
Jelani Jenkins,JenkJe00,mia,Q,Q,Q,D,Q,,,,,,Q,Q,D,,D,D,,Q,,
Jason Jones,JoneJa99,mia,,,Q,Q,,,,,,,,,,,,,,,,
Reshad Jones,JoneRe99,mia,,,,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Dion Jordan,JordDi00,mia,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Jarvis Landry,LandJa00,mia,,,,Q,,,,,,,Q,,,,,,,,,
Tony Lippett,LippTo00,mia,,,,,,,,,,,,,,,,,,Q,,
Byron Maxwell,MaxwBy00,mia,,,,,,,,,,,,,,,D,D,,D,,
Bobby McCain,McCaBo01,mia,,,,,,,,,,,,,,,Q,,,,,
Koa Misi,MisiKo99,mia,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Earl Mitchell,MitcEa99,mia,Q,IR,IR,IR,IR,IR,IR,IR,,,,Q,Q,,,,,,,
Matt Moore,MoorMa01,mia,,,,,,,,,,,,,Q,,,,,,,
DeVante Parker,ParkDe01,mia,Q,Q,Q,Q,,,,Q,,,,Q,Q,,,,,,,
Spencer Paysinger,PaysSp00,mia,,Q,Q,Q,,,,,,,Q,,Q,,,Q,,,,
Isaiah Pead,PeadIs00,mia,Q,,,,,,,,,,,,,,,,,,,
Jordan Phillips,PhilJo01,mia,,Q,,,,,,,,,,,,,,,,,,
Mike Pouncey,PounMi00,mia,O,O,O,O,Q,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,,
Bacarri Rambo,RambBa00,mia,,,,,,,,,,,,,,,,,,Q,,
Dion Sims,SimsDi00,mia,,,,Q,,,,O,,,,,,,,,,,,
Anthony Steen,SteeAn00,mia,,,,D,Q,,,,,,,,Q,,,,,,,
Kenny Stills,StilKe00,mia,,,,,,,,,,,Q,,,,,,,,,
Ndamukong Suh,SuhxNd99,mia,,,,,,,,,,,Q,,,,,,,,,
Ryan Tannehill,TannRy00,mia,,,,,,,,,,,,,,,O,O,,O,,
Laremy Tunsil,TunsLa00,mia,Q,,,,,,,Q,,,Q,Q,,,,,,,,
Kraig Urbik,UrbiKr20,mia,,,,,,,,,,,,,Q,,,,,Q,,
Zach Vigil,VigiZa00,mia,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,IR,,
Mario Williams,WillMa22,mia,,Q,,,,,,,,,Q,,D,,Q,Q,,,,
Danny Amendola,AmenDa00,nwe,,,,,,,,,,,,,,,O,O,,,Q,
Martellus Bennett,BennMa00,nwe,,,,,,,,,,,,,,,Q,Q,Q,,Q,
