Player,Url,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 8,Week 18,Week 19,Week 20
D.J. Pettway,PettD.01,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kyle Prater,PratKy00,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jimmy Pruitt,PruiJi00,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Sheldon Rankins,RankSh00,nor,IR,IR,IR,IR,,IR,IR,,,,,,,,,,IR,,,
Craig Robertson,RobeCr00,nor,,,,,,,,,,,,,Q,,Q,Q,,,,
Jamarca Sanford,SanfJa99,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jeff Schoettmer,SchoJe00,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Willie Snead,SneaWi00,nor,,,Q,Q,,,,,,,,,,,,,,,,
Damian Swann,SwanDa02,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Michael Thomas,ThomMi05,nor,Q,,,,,,,,,,,,Q,,,,,,,
Tyrus Thompson,ThomTy01,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Max Unger,UngeMa20,nor,,,,,,,,,,,,,Q,,Q,,,,,
Kenny Vaccaro,VaccKe00,nor,,,Q,Q,,,,,,,,,,,,,,,,
P.J. Williams,WillP.00,nor,,,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kyle Wilson,WilsKy99,nor,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
